id,title,content,rating,published_date,author,source,url,tags,scraped_at
1,Colombia El Oasis,"Blind Assessment: Lush, quietly complex, fruit-driven. Blackberry, panela, cocoa nib, roasted almond, violet in aroma and cup. Briskly sweet acidity; very smooth, syrupy mouthfeel. The finish centers around cocoa nib and dark berry tones. Notes: Produced by Doña Luz Mila Gonzales of Finca El Oasis, entirely of the Caturra variety of Arabica, and processed by the honey method, in which some of the fruit flesh is left on the beans during the drying process. Steel Oak Coffee is a community-driven, ...",93,,,Coffee Review,https://www.coffeereview.com/review/colombia-el-oasis/,coffee review | rating,2025-09-24 08:13:42
2,Ethiopia Worka Sakaro,"Blind Assessment: Intensely sweet, floral-toned. Jasmine, ripe blueberry, candied lemon, cocoa powder, pink peppercorn in aroma and cup. Winey acidity; buoyant, satiny mouthfeel. Finish layers citrus and berry notes over a subtle spice-toned cocoa note. Notes: Produced by smallholding farmers, from trees of the Dega, Kurame and Wolisho varieties of Arabica, and processed by the anaerobic natural method, in which the whole fruit is fermented with limited oxygen before drying. Steel Oak Coffee is ...",93,,,Coffee Review,https://www.coffeereview.com/review/ethiopia-worka-sakaro-3/,coffee review | rating,2025-09-24 08:13:42
3,Costa Rica Las Lajas Red Honey,"Blind Assessment: Richly sweet, fruit-forward, resonant. Raspberry, honey, cocoa nib, red grape, sandalwood in aroma and cup. Gently tart acidity; syrupy, full mouthfeel. The finish is long and layered: Fruit and honey lead in the short finish, while cocoa and sandalwood linger with a soft spicy resonance in the long. Notes: Produced by Oscar and Francisca Chacon, from trees of the Caturra and Catuai varieties of Arabica and processed by the red honey method, in which some of the fruit flesh is ...",94,,,Coffee Review,https://www.coffeereview.com/review/costa-rica-las-lajas-red-honey-5/,coffee review | rating,2025-09-24 08:13:42
4,Ethiopia Gotiti,"Blind Assessment: Lively, floral, layered. Jasmine, peach, Meyer lemon, cocoa nib, honey in aroma and cup. Crisp, high-toned acidity; silky, buoyant mouthfeel. The finish is sweetly bright, with lasting citrus and stone fruit notes. Notes: Produced by smallholding farmers, entirely of landrace selections of Arabica long grown in the region, and processed by the traditional washed method (fruit skin and pulp removed before drying). Based in southern Oregon, Noble Coffee Roasting is a wholesale an...",93,,,Coffee Review,https://www.coffeereview.com/review/ethiopia-gotiti/,coffee review | rating,2025-09-24 08:13:42
5,Guatemala Bella Carmona,"Blind Assessment: Deeply sweet, balanced, confident. Dark chocolate, ripe plum, caramel, almond, tangerine in aroma and cup. Vibrant, integrated acidity; plush, satiny mouthfeel. The finish is long, leaning toward chocolate and stone fruit in the short and softening to a nutty sweetness in the long. Notes: Produced by Luis Pedro Zelaya Zamora, from trees of the Bourbon and Caturra varieties of Arabica, and processed by the washed method (fruit skin and pulp removed before drying). Utopian Coffee...",94,,,Coffee Review,https://www.coffeereview.com/review/guatemala-bella-carmona-8/,coffee review | rating,2025-09-24 08:13:42
6,"Build-Outs Of Coffee: .Raw In Ljubljana, Slovenia","And so we enter end game . This is our very last Build-Out feature for the 2025 series, and to close things down were headed towhere else?the city of Ljubljana, which is home to an impressively brutalist new coffee bar called Raw (stylized as .raw ). This has been a particularly stirring and wonderful edition of the Build-Outs of Coffee, but dont fretwell wrap things up with our annual Analytics of Autumn breakdown post in the coming days. But for now, Slovenia beckons. The 2025 Build-Outs of Co...",,,,Sprudge,https://sprudge.com/build-outs-of-coffee-raw-in-ljubljana-slovenia-416818.html,coffee news | coffee culture,2025-09-24 08:13:42
7,La Marzocco Brings Out Of The Box Back To Milan This October,"So youre going to be in Milan next month for HOST and the 2025 World Barista Championship. But six days in a convention center is no ones idea of a good time, and Milan is a city worth exploring beyond the Fiera. Luckily for you, La Marzocco is hosting a major event of their own during HOST. Its called Out of the Box , and it takes place Saturday, October 18 th. The theme of this years event is Roots  Wings, and it will feature a variety of demos, tastings, talks, and hands-on activities. Taking...",,,,Sprudge,https://sprudge.com/la-marzocco-brings-out-of-the-box-back-to-milan-this-october-429350.html,coffee news | coffee culture,2025-09-24 08:13:42
8,"Build-Outs Of Coffee: Naughty Coffee In Miami, FL","Were in the final days of this years Build-Outs of Coffee feature series, which closes this week. But before we go, lets take our talents to South Beach, or uh, rather, to Downtown Miami proper, where homegrown success story Naughty Coffee are gearing up to open a brand new cafe. The 2025 Build-Outs of Coffee is sponsored by Pacific Barista Series , La Marzocco , Ceado , and Dona. As told to Sprudge by Milan Blagojevic. For those who arent familiar, will you tell us about your company? Our journ...",,,,Sprudge,https://sprudge.com/build-outs-of-coffee-naughty-coffee-in-miami-fl-411017.html,coffee news | coffee culture,2025-09-24 08:13:42
9,Bi-Partisan Lawmakers Introduce Bill To Exempt Coffee From Tariffs,"In these divisive times, theres one thing that folks from both sides of the aisle can agree on: coffee. It is the great uniter. The thing that reminds us that, for all our differences, we are fundamentally the same, which is to say, irreparably fueled by coffee. Thus it is no surprise that if theres one thing politicians will break the party line over, its coffee. Which is exactly whats happening in Congress, with a bi-partisan bill to have coffee exempted from tariffs. As initially reported by ...",,,,Sprudge,https://sprudge.com/bi-partisan-law-makers-introduce-bill-to-exempt-coffee-from-tariffs-427437.html,coffee news | coffee culture,2025-09-24 08:13:42
10,The Coffee Buildcast With Caffe Umbria And The DONA Tea Library,"Were exploring brand new cafes from Seattle, Olympia, Long Beach, and Medellin on another special episode of the Coffee Buildcast on the Coffee Sprudgecast (a coffee podcast). At the top of the show hosts Jordan Michelman and Zachary Carlsen enjoy coffee from Caffe Umbria brewed using the new Timemore Sculptor Series Electric Grinder , Timemore Black Mirror Basic 2 Scale , all brewed with the Ceado Hoop Brewer. The hosts take a moment of centering and reflection over fine tisanes from DONAs beau...",,,,Sprudge,https://sprudge.com/the-coffee-buildcast-with-caffe-umbria-and-the-dona-tea-library-427294.html,coffee news | coffee culture,2025-09-24 08:13:42
